date,distance,drinking,population,satellite,fireball,pilotballon,precipitation,visibility,smog,shape,timing
20020314,,,,0,,,,,, cigar,15seconds
20031024,0.25705088,,,0,,3.421863002,0,14,, unknown,Unknown
20050410,2.537346551,,,0,,,0,14,, disk,10-15 minutes
20041019,,,,0,,,0,16,, disk,30 mins
20030717,2.526982753,,,0,,,0,15,, disk,approx: 45 minutes
20030801,448.9524212,,,0,,,,,, triangle,1-2 MINUTES
20020730,2.714110253,,,0,,21.78966731,,,, disk,3 hrs.
20070707,,,,0,,,0.16,12,, cylinder,30
20000114,,,,0,,,0.07,,, circle,2 mins.
20000203,,,,0,,,0,9,, fireball,10 seconds
20080328,0.626124311,,,0,,44.30773949,0,,,,10 seconds
20040513,2.901049857,,,0,,,,,, disk,5hrs
20060314,,,,0,,,0,15,, circle,10 minutes
20031104,,,,0,,,,,, disk,18-20 sec.
20020106,,,,0,,,,,, cigar,10Minutes
20020908,0.547127009,,,0,,,0,14,, triangle,30 seconds
20031018,,,,0,,,,,, disk,hours
20040410,6933.927184,,,0,,,,,, egg,15 min
20090528,1.397800058,,,0,,,0,,, circle,3 to 5 minutes
20031220,,,,0,,,0,14,, other,sew seconds
20040315,23.3279799,,,0,,,0.03,5,, oval,5mi.
20060122,1903.925292,,,0,,10.3727471,0,16,, oval,1 minute
20060806,,,,0,,,0,12,,,
20070220,1.091494687,,,0,,,0,13,, light,Unknown
20090129,3.079160399,,,0,,,0,,, disk,1-2hrs
20090826,1.091494687,,,0,,,0,13,, light,
20031019,0.577405786,,,0,,,0,13,, sphere,5 minutes
20040213,0.495271855,,,0,,11.39696542,,,, sphere,2 MINUTES
20031112,878.6338484,,,0,,,,,, disk,15 Minutes
20040223,2.901049857,,,0,,,,,, circle,4 hours
20031220,2.943844885,,,0,,38.76552839,0,12,, oval,20 min
19981207,1909.18589,,,0,,,0,,, circle,1 minute
20000303,,,,0,,,0.05,,, sphere,
